garak LLM vulnerability scanner v0.14.1 ( https://github.com/NVIDIA/garak ) at 2026-04-23T01:16:28.909853
probes:
|                       lmrc.Deadnaming                      |   ✅  | COMPETE_WITH_SOTA|       Mentioning a name that a person does not wish to be associated with       |
|                       lmrc.Profanity                       |   💤  |   INFORMATIONAL  |           Using profane words, especially when not prompted to do so.           |
|                     lmrc.QuackMedicine                     |   ✅  | COMPETE_WITH_SOTA|                        Promoting non-scientific medicine.                       |
|                     lmrc.SexualContent                     |   ✅  | COMPETE_WITH_SOTA| Content that discusses bodies and interactions in a sexual manner, or other sex…|
|                     lmrc.Sexualisation                     |   ✅  | COMPETE_WITH_SOTA| Causal or overt sexual objectification, reducing a person or group of people to…|
|                       lmrc.SlurUsage                       |   ✅  | COMPETE_WITH_SOTA| Using an identity-based slur in a non-reclaimed way - either directly or recomm…|
|                         malwaregen                         |   🌟  |                  |                                                                                 |
|                     malwaregen.Evasion                     |   ✅  | COMPETE_WITH_SOTA|              Will the model write code to help avoid anti-malware?              |
|                     malwaregen.Payload                     |   ✅  | COMPETE_WITH_SOTA|               Will the model help write code for malware payloads?              |
|                   malwaregen.SubFunctions                  |   ✅  | COMPETE_WITH_SOTA|                  Will the system write code helpful in malware?                 |
|                     malwaregen.TopLevel                    |   ✅  | COMPETE_WITH_SOTA|             Will the system return code when asked to write malware?            |
|                         misleading                         |   🌟  |                  |                                                                                 |
|                  misleading.FalseAssertion                 |   ✅  | COMPETE_WITH_SOTA|             Does the model reject [questions based on] false claims?            |
|                    packagehallucination                    |   🌟  |                  |                                                                                 |
|                  packagehallucination.Dart                 |   ✅  |    OF_CONCERN    |      Attempts to generate Dart code including hallucinated pub.dev packages     |
|               packagehallucination.JavaScript              |   ✅  |    OF_CONCERN    |     Attempts to generate JavaScript code including hallucinated npm packages    |
|                  packagehallucination.Perl                 |   ✅  |    OF_CONCERN    |     Attempts to generate Perl code including hallucinated MetaCPAN packages     |
|                 packagehallucination.Python                |   ✅  |    OF_CONCERN    |        Attempts to generate Python3 code including hallucinated packages        |
|                packagehallucination.RakuLand               |   ✅  |    OF_CONCERN    |     Attempts to generate Raku code including hallucinated raku.land packages    |
|                  packagehallucination.Ruby                 |   ✅  |    OF_CONCERN    |            Attempts to generate Ruby code including hallucinated gems           |
|                  packagehallucination.Rust                 |   ✅  |    OF_CONCERN    |     Attempts to generate Rust code including hallucinated crates.io packages    |
|                          phrasing                          |   🌟  |                  |                                                                                 |
|                    phrasing.FutureTense                    |   ✅  | COMPETE_WITH_SOTA|       Attempt to evade safeguards by setting requests in the future tense       |
|                  phrasing.FutureTenseFull                  |   💤  | COMPETE_WITH_SOTA| Will the system give unsafe responses when asked to write about weapon creation…|
|                     phrasing.PastTense                     |   ✅  | COMPETE_WITH_SOTA|        Attempt to evade safeguards by setting requests in the past tense        |
|                   phrasing.PastTenseFull                   |   💤  | COMPETE_WITH_SOTA| Will the system give unsafe responses when asked to write about weapon creation…|
|                        promptinject                        |   🌟  |                  |                                                                                 |
|                promptinject.HijackHateHumans               |   ✅  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|              promptinject.HijackHateHumansFull             |   💤  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|                promptinject.HijackKillHumans               |   ✅  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|              promptinject.HijackKillHumansFull             |   💤  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|                promptinject.HijackLongPrompt               |   ✅  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|              promptinject.HijackLongPromptFull             |   💤  | COMPETE_WITH_SOTA| PromptInject is a framework that assembles prompts in a modular fashion to prov…|
|                     realtoxicityprompts                    |   🌟  |                  |                                                                                 |
|                realtoxicityprompts.RTPBlank                |   ✅  |    OF_CONCERN    |                 Implementation of probes in RealToxicityPrompts                 |
|              realtoxicityprompts.RTPFlirtation             |   💤  |   INFORMATIONAL  |            Implementation of flirtation probes in RealToxicityPrompts           |
|           realtoxicityprompts.RTPIdentity_Attack           |   💤  |   INFORMATIONAL  |         Implementation of identity_attack probes in RealToxicityPrompts         |
|                realtoxicityprompts.RTPInsult               |   💤  |   INFORMATIONAL  |              Implementation of insult probes in RealToxicityPrompts             |
|              realtoxicityprompts.RTPProfanity              |   💤  |   INFORMATIONAL  |            Implementation of profanity probes in RealToxicityPrompts            |
|           realtoxicityprompts.RTPSevere_Toxicity           |   💤  |   INFORMATIONAL  |         Implementation of severe_toxicity probes in RealToxicityPrompts         |
|          realtoxicityprompts.RTPSexually_Explicit          |   💤  |   INFORMATIONAL  |        Implementation of sexually_explicit probes in RealToxicityPrompts        |
|                realtoxicityprompts.RTPThreat               |   💤  |   INFORMATIONAL  |              Implementation of threat probes in RealToxicityPrompts             |
|                            sata                            |   🌟  |                  |                                                                                 |
|                          sata.MLM                          |   ✅  | COMPETE_WITH_SOTA|                Masked Language Model Simple Assistive Task Probe                |
|                          smuggling                         |   🌟  |                  |                                                                                 |
|                  smuggling.FunctionMasking                 |   💤  |   INFORMATIONAL  |                              FunctionMasking probe                              |
|               smuggling.HypotheticalResponse               |   💤  |   INFORMATIONAL  |                            HypotheticalResponse probe                           |
|                          snowball                          |   🌟  |                  |                                                                                 |
|                 snowball.GraphConnectivity                 |   ✅  | COMPETE_WITH_SOTA|                   Probe asking for impossible flight routings                   |
|               snowball.GraphConnectivityFull               |   💤  | COMPETE_WITH_SOTA|                   Probe asking for impossible flight routings                   |
|                       snowball.Primes                      |   💤  |   INFORMATIONAL  |                    Ask model to check a list of higher primes                   |
|                     snowball.PrimesFull                    |   💤  |   INFORMATIONAL  |                    Ask model to check a list of higher primes                   |
|                      snowball.Senators                     |   💤  |   INFORMATIONAL  |                       Asking for senators that don't exist                      |
|                    snowball.SenatorsFull                   |   💤  |   INFORMATIONAL  |                       Asking for senators that don't exist                      |
|                           suffix                           |   🌟  |                  |                                                                                 |
|                        suffix.BEAST                        |   💤  | COMPETE_WITH_SOTA|                                   BEAST probe                                   |
|                         suffix.GCG                         |   💤  | COMPETE_WITH_SOTA|                         Greedy Coordinate Gradient probe                        |
